Pair,Position,Diff
East 1 vs West 1,1,30
East 1 vs West 1,2,0
East 1 vs West 1,3,0
East 1 vs West 1,4,0
East 1 vs West 1,5,0
East 1 vs West 1,6,0
East 1 vs West 1,7,0
East 1 vs West 1,8,0
East 1 vs West 1,9,0
East 1 vs West 1,10,0
East 1 vs West 1,11,0
East 1 vs West 1,12,0
East 1 vs West 1,13,0
East 1 vs West 1,14,0
East 1 vs West 1,15,0
East 1 vs West 1,16,0
East 1 vs West 1,17,0
East 1 vs West 1,18,0
East 1 vs West 1,19,0
East 1 vs West 1,20,0
East 1 vs West 1,21,0
East 1 vs West 1,22,0
East 1 vs West 1,23,0
East 1 vs West 1,24,0
East 1 vs West 1,25,0
East 1 vs West 1,26,51
East 1 vs West 1,27,71
East 1 vs West 1,28,10
East 1 vs West 1,29,11
East 1 vs West 1,30,0
East 1 vs West 1,31,0
East 1 vs West 1,32,0
East 1 vs West 1,33,0
East 1 vs West 1,34,15
East 1 vs West 1,35,25
East 1 vs West 1,36,11
East 1 vs West 1,37,6
East 1 vs West 1,38,0
East 1 vs West 1,39,0
East 1 vs West 1,40,0
East 1 vs West 1,41,0
East 1 vs West 1,42,0
East 1 vs West 1,43,0
East 1 vs West 1,44,0
East 1 vs West 1,45,0
East 1 vs West 1,46,0
East 1 vs West 1,47,0
East 1 vs West 1,48,0
East 1 vs West 1,49,0
East 1 vs West 1,50,0
East 1 vs West 1,51,28
East 1 vs West 1,52,5
East 1 vs West 1,53,54
East 1 vs West 1,54,53
East 1 vs West 1,55,61
East 1 vs West 1,56,0
East 1 vs West 1,57,20
East 1 vs West 1,58,39
East 1 vs West 1,59,39
East 1 vs West 1,60,15
East 1 vs West 1,61,40
East 1 vs West 1,62,30
East 1 vs West 1,63,52
East 1 vs West 1,64,3
East 1 vs West 1,65,37
East 1 vs West 1,66,1
East 1 vs West 1,67,8
East 1 vs West 1,68,5
East 1 vs West 1,69,7
East 1 vs West 1,70,70
East 1 vs West 1,71,6
East 1 vs West 1,72,10
East 1 vs West 1,73,13
East 1 vs West 1,74,38
East 1 vs West 1,75,6
East 1 vs West 1,76,54
East 1 vs West 1,77,17
East 1 vs West 1,78,17
East 1 vs West 1,79,28
East 1 vs West 1,80,34
East 1 vs West 1,81,34
East 1 vs West 1,82,5
East 1 vs West 1,83,3
East 1 vs West 1,84,29
East 1 vs West 1,85,17
East 1 vs West 1,86,1
East 1 vs West 1,87,0
East 1 vs West 1,88,6
East 1 vs West 1,89,29
East 1 vs West 1,90,31
East 1 vs West 1,91,28
East 1 vs West 1,92,1
East 1 vs West 1,93,32
East 1 vs West 1,94,15
East 1 vs West 1,95,9
East 1 vs West 1,96,31
East 1 vs West 1,97,54
East 1 vs West 1,98,0
East 1 vs West 1,99,20
East 2 vs West 2,1,40
East 2 vs West 2,2,0
East 2 vs West 2,3,0
East 2 vs West 2,4,1
East 2 vs West 2,5,13
East 2 vs West 2,6,41
East 2 vs West 2,7,6
East 2 vs West 2,8,17
East 2 vs West 2,9,8
East 2 vs West 2,10,60
East 2 vs West 2,11,0
East 2 vs West 2,12,10
East 2 vs West 2,13,40
East 2 vs West 2,14,14
East 2 vs West 2,15,18
East 2 vs West 2,16,66
East 2 vs West 2,17,49
East 2 vs West 2,18,16
East 2 vs West 2,19,40
East 2 vs West 2,20,17
East 2 vs West 2,21,45
East 2 vs West 2,22,17
East 2 vs West 2,23,8
East 2 vs West 2,24,37
East 2 vs West 2,25,48
East 2 vs West 2,26,15
East 2 vs West 2,27,42
East 2 vs West 2,28,27
East 2 vs West 2,29,27
East 2 vs West 2,30,33
East 2 vs West 2,31,10
East 2 vs West 2,32,25
East 2 vs West 2,33,2
East 2 vs West 2,34,55
East 2 vs West 2,35,49
East 2 vs West 2,36,22
East 2 vs West 2,37,36
East 2 vs West 2,38,4
East 2 vs West 2,39,6
East 2 vs West 2,40,28
East 2 vs West 2,41,27
East 2 vs West 2,42,41
East 2 vs West 2,43,6
East 2 vs West 2,44,42
East 2 vs West 2,45,38
East 2 vs West 2,46,74
East 2 vs West 2,47,8
East 2 vs West 2,48,21
East 2 vs West 2,49,42
East 2 vs West 2,50,46
East 2 vs West 2,51,16
East 2 vs West 2,52,14
East 2 vs West 2,53,41
East 2 vs West 2,54,29
East 2 vs West 2,55,3
East 2 vs West 2,56,12
East 2 vs West 2,57,46
East 2 vs West 2,58,8
East 2 vs West 2,59,35
East 2 vs West 2,60,25
East 2 vs West 2,61,36
East 2 vs West 2,62,13
East 2 vs West 2,63,42
East 2 vs West 2,64,21
East 2 vs West 2,65,70
East 2 vs West 2,66,5
East 2 vs West 2,67,28
East 2 vs West 2,68,41
East 2 vs West 2,69,23
East 2 vs West 2,70,4
East 2 vs West 2,71,37
East 2 vs West 2,72,66
East 2 vs West 2,73,40
East 2 vs West 2,74,54
East 2 vs West 2,75,10
East 2 vs West 2,76,6
East 2 vs West 2,77,34
East 2 vs West 2,78,1
East 2 vs West 2,79,35
East 2 vs West 2,80,21
East 2 vs West 2,81,9
East 2 vs West 2,82,66
East 2 vs West 2,83,56
East 2 vs West 2,84,5
East 2 vs West 2,85,15
East 2 vs West 2,86,20
East 2 vs West 2,87,18
East 2 vs West 2,88,2
East 2 vs West 2,89,3
East 2 vs West 2,90,58
East 2 vs West 2,91,7
East 2 vs West 2,92,26
East 2 vs West 2,93,75
East 2 vs West 2,94,14
East 2 vs West 2,95,19
East 2 vs West 2,96,33
East 2 vs West 2,97,55
East 2 vs West 2,98,9
East 2 vs West 2,99,1
East 2 vs West 2,100,18
East 2 vs West 2,101,17
East 2 vs West 2,102,9
East 3 vs West 3,1,29
East 3 vs West 3,2,0
East 3 vs West 3,3,0
East 3 vs West 3,4,0
East 3 vs West 3,5,0
East 3 vs West 3,6,0
East 3 vs West 3,7,21
East 3 vs West 3,8,14
East 3 vs West 3,9,18
East 3 vs West 3,10,27
East 3 vs West 3,11,50
East 3 vs West 3,12,21
East 3 vs West 3,13,41
East 3 vs West 3,14,27
East 3 vs West 3,15,0
East 3 vs West 3,16,14
East 3 vs West 3,17,23
East 3 vs West 3,18,58
East 3 vs West 3,19,31
East 3 vs West 3,20,21
East 3 vs West 3,21,27
East 3 vs West 3,22,4
East 3 vs West 3,23,28
East 3 vs West 3,24,42
East 3 vs West 3,25,48
East 3 vs West 3,26,23
East 3 vs West 3,27,61
East 3 vs West 3,28,30
East 3 vs West 3,29,41
East 3 vs West 3,30,68
East 3 vs West 3,31,39
East 3 vs West 3,32,18
East 3 vs West 3,33,27
East 3 vs West 3,34,41
East 3 vs West 3,35,6
East 3 vs West 3,36,10
East 3 vs West 3,37,30
East 3 vs West 3,38,8
East 3 vs West 3,39,28
East 3 vs West 3,40,27
East 3 vs West 3,41,72
East 3 vs West 3,42,41
East 3 vs West 3,43,33
East 3 vs West 3,44,58
East 3 vs West 3,45,66
East 3 vs West 3,46,23
East 3 vs West 3,47,46
East 3 vs West 3,48,21
East 3 vs West 3,49,23
East 3 vs West 3,50,8
East 3 vs West 3,51,10
East 3 vs West 3,52,28
East 3 vs West 3,53,19
East 3 vs West 3,54,47
East 3 vs West 3,55,14
East 3 vs West 3,56,29
East 3 vs West 3,57,3
East 3 vs West 3,58,8
East 3 vs West 3,59,38
East 3 vs West 3,60,7
East 3 vs West 3,61,47
East 3 vs West 3,62,13
East 3 vs West 3,63,6
East 3 vs West 3,64,0
East 3 vs West 3,65,12
East 3 vs West 3,66,34
East 3 vs West 3,67,52
East 3 vs West 3,68,38
East 3 vs West 3,69,11
East 3 vs West 3,70,13
East 3 vs West 3,71,48
East 3 vs West 3,72,55
East 3 vs West 3,73,8
East 3 vs West 3,74,49
