SHEET,Original_Ciphertexts
Message,Position,Value
East 1,1,50
East 1,2,66
East 1,3,5
East 1,4,48
East 1,5,62
East 1,6,13
East 1,7,75
East 1,8,29
East 1,9,24
East 1,10,61
East 1,11,42
East 1,12,70
East 1,13,66
East 1,14,62
East 1,15,32
East 1,16,14
East 1,17,81
East 1,18,8
East 1,19,15
East 1,20,78
East 1,21,2
East 1,22,29
East 1,23,13
East 1,24,49
East 1,25,1
East 1,26,80
East 1,27,82
East 1,28,40
East 1,29,63
East 1,30,81
East 1,31,21
East 1,32,19
East 1,33,0
East 1,34,40
East 1,35,51
East 1,36,65
East 1,37,26
East 1,38,14
East 1,39,21
East 1,40,70
East 1,41,47
East 1,42,44
East 1,43,48
East 1,44,42
East 1,45,19
East 1,46,48
East 1,47,13
East 1,48,47
East 1,49,19
East 1,50,49
East 1,51,72
East 1,52,31
East 1,53,5
East 1,54,24
East 1,55,3
East 1,56,43
East 1,57,59
East 1,58,67
East 1,59,33
East 1,60,49
East 1,61,41
East 1,62,60
East 1,63,21
East 1,64,26
East 1,65,30
East 1,66,5
East 1,67,25
East 1,68,20
East 1,69,71
East 1,70,11
East 1,71,74
East 1,72,56
East 1,73,4
East 1,74,74
East 1,75,19
East 1,76,71
East 1,77,4
East 1,78,51
East 1,79,41
East 1,80,43
East 1,81,80
East 1,82,72
East 1,83,54
East 1,84,63
East 1,85,79
East 1,86,81
East 1,87,15
East 1,88,16
East 1,89,44
East 1,90,31
East 1,91,30
East 1,92,12
East 1,93,33
East 1,94,57
East 1,95,28
East 1,96,13
East 1,97,64
East 1,98,43
East 1,99,48
West 1,1,80
West 1,2,66
West 1,3,5
West 1,4,48
West 1,5,62
West 1,6,13
West 1,7,75
West 1,8,29
West 1,9,24
West 1,10,61
West 1,11,42
West 1,12,70
West 1,13,66
West 1,14,62
West 1,15,32
West 1,16,14
West 1,17,81
West 1,18,8
West 1,19,15
West 1,20,78
West 1,21,2
West 1,22,29
West 1,23,13
West 1,24,49
West 1,25,1
West 1,26,29
West 1,27,11
West 1,28,30
West 1,29,52
West 1,30,81
West 1,31,21
West 1,32,19
West 1,33,0
West 1,34,25
West 1,35,26
West 1,36,54
West 1,37,20
West 1,38,14
West 1,39,21
West 1,40,70
West 1,41,47
West 1,42,44
West 1,43,48
West 1,44,42
West 1,45,19
West 1,46,48
West 1,47,13
West 1,48,47
West 1,49,19
West 1,50,49
West 1,51,44
West 1,52,26
West 1,53,59
West 1,54,77
West 1,55,64
West 1,56,43
West 1,57,79
West 1,58,28
West 1,59,72
West 1,60,64
West 1,61,1
West 1,62,30
West 1,63,73
West 1,64,23
West 1,65,67
West 1,66,6
West 1,67,33
West 1,68,25
West 1,69,64
West 1,70,81
West 1,71,68
West 1,72,46
West 1,73,17
West 1,74,36
West 1,75,13
West 1,76,17
West 1,77,21
West 1,78,68
West 1,79,13
West 1,80,9
West 1,81,46
West 1,82,67
West 1,83,57
West 1,84,34
West 1,85,62
West 1,86,82
West 1,87,15
West 1,88,10
West 1,89,73
West 1,90,62
West 1,91,2
West 1,92,11
West 1,93,65
West 1,94,72
West 1,95,37
West 1,96,44
West 1,97,10
West 1,98,43
West 1,99,68
West 1,100,62
West 1,101,9
West 1,102,34
West 1,103,18
East 2,1,36
East 2,2,66
East 2,3,5
East 2,4,48
East 2,5,62
East 2,6,13
East 2,7,75
East 2,8,29
East 2,9,24
East 2,10,61
East 2,11,42
East 2,12,70
East 2,13,66
East 2,14,62
East 2,15,32
East 2,16,14
East 2,17,81
East 2,18,8
East 2,19,15
East 2,20,78
East 2,21,2
East 2,22,29
East 2,23,13
East 2,24,49
East 2,25,1
East 2,26,69
East 2,27,76
East 2,28,52
East 2,29,9
East 2,30,48
East 2,31,66
East 2,32,80
East 2,33,22
East 2,34,64
East 2,35,57
East 2,36,40
East 2,37,49
East 2,38,78
East 2,39,3
East 2,40,16
East 2,41,56
East 2,42,19
East 2,43,47
East 2,44,40
East 2,45,80
East 2,46,6
East 2,47,13
East 2,48,64
East 2,49,29
East 2,50,49
East 2,51,64
East 2,52,63
East 2,53,6
East 2,54,49
East 2,55,31
East 2,56,13
East 2,57,16
East 2,58,10
East 2,59,45
East 2,60,24
East 2,61,26
East 2,62,77
East 2,63,10
East 2,64,60
East 2,65,81
East 2,66,61
East 2,67,34
East 2,68,54
East 2,69,70
East 2,70,21
East 2,71,15
East 2,72,4
East 2,73,66
East 2,74,77
East 2,75,42
East 2,76,37
East 2,77,30
East 2,78,22
East 2,79,0
East 2,80,11
East 2,81,41
East 2,82,72
East 2,83,57
East 2,84,20
East 2,85,23
East 2,86,57
East 2,87,65
East 2,88,41
East 2,89,23
East 2,90,18
East 2,91,72
East 2,92,42
East 2,93,5
East 2,94,3
East 2,95,26
East 2,96,78
East 2,97,8
East 2,98,5
East 2,99,54
East 2,100,45
East 2,101,77
East 2,102,25
East 2,103,64
East 2,104,61
East 2,105,16
East 2,106,44
East 2,107,54
East 2,108,51
East 2,109,20
East 2,110,63
East 2,111,25
East 2,112,11
East 2,113,26
East 2,114,45
East 2,115,53
East 2,116,60
East 2,117,38
East 2,118,34
West 2,1,76
West 2,2,66
West 2,3,5
West 2,4,49
West 2,5,75
West 2,6,54
West 2,7,69
West 2,8,46
West 2,9,32
West 2,10,1
West 2,11,42
West 2,12,60
West 2,13,26
West 2,14,48
West 2,15,50
West 2,16,80
West 2,17,32
West 2,18,24
West 2,19,55
West 2,20,61
West 2,21,47
West 2,22,12
West 2,23,21
West 2,24,12
West 2,25,49
West 2,26,54
West 2,27,34
West 2,28,25
West 2,29,36
West 2,30,15
West 2,31,56
West 2,32,55
West 2,33,20
West 2,34,9
West 2,35,8
West 2,36,62
West 2,37,13
West 2,38,82
West 2,39,9
West 2,40,44
West 2,41,29
West 2,42,60
West 2,43,53
West 2,44,82
West 2,45,42
West 2,46,80
West 2,47,5
West 2,48,43
West 2,49,71
West 2,50,3
West 2,51,80
West 2,52,77
West 2,53,47
West 2,54,78
West 2,55,34
West 2,56,25
West 2,57,62
West 2,58,18
West 2,59,10
West 2,60,49
West 2,61,62
West 2,62,64
West 2,63,52
West 2,64,81
West 2,65,11
West 2,66,66
West 2,67,62
West 2,68,13
West 2,69,47
West 2,70,17
West 2,71,52
West 2,72,70
West 2,73,26
West 2,74,23
West 2,75,32
West 2,76,31
West 2,77,64
West 2,78,23
West 2,79,35
West 2,80,32
West 2,81,50
West 2,82,6
West 2,83,1
West 2,84,25
West 2,85,8
West 2,86,37
West 2,87,47
West 2,88,43
West 2,89,26
West 2,90,76
West 2,91,65
West 2,92,68
West 2,93,80
West 2,94,17
West 2,95,7
West 2,96,45
West 2,97,63
West 2,98,14
West 2,99,53
West 2,100,63
West 2,101,60
West 2,102,16
East 3,1,63
East 3,2,66
East 3,3,5
East 3,4,49
East 3,5,75
East 3,6,54
East 3,7,2
East 3,8,60
East 3,9,29
East 3,10,40
East 3,11,78
East 3,12,47
East 3,13,60
East 3,14,75
East 3,15,67
East 3,16,71
East 3,17,60
East 3,18,2
East 3,19,65
East 3,20,7
East 3,21,47
East 3,22,14
East 3,23,45
East 3,24,74
East 3,25,59
East 3,26,41
East 3,27,80
East 3,28,13
East 3,29,60
East 3,30,13
East 3,31,81
East 3,32,22
East 3,33,35
East 3,34,50
East 3,35,40
East 3,36,39
East 3,37,2
East 3,38,59
East 3,39,48
East 3,40,31
East 3,41,76
East 3,42,2
East 3,43,80
East 3,44,75
East 3,45,1
East 3,46,56
East 3,47,67
East 3,48,11
East 3,49,21
East 3,50,8
East 3,51,40
East 3,52,65
East 3,53,45
East 3,54,75
East 3,55,55
East 3,56,39
East 3,57,60
East 3,58,42
East 3,59,13
East 3,60,3
East 3,61,22
East 3,62,57
East 3,63,2
East 3,64,6
East 3,65,58
East 3,66,9
East 3,67,70
East 3,68,1
East 3,69,58
East 3,70,56
East 3,71,63
East 3,72,68
East 3,73,25
East 3,74,79
East 3,75,7
East 3,76,20
East 3,77,19
East 3,78,64
East 3,79,2
East 3,80,66
East 3,81,73
East 3,82,30
East 3,83,71
East 3,84,16
East 3,85,12
East 3,86,30
East 3,87,65
East 3,88,37
East 3,89,20
East 3,90,13
East 3,91,22
East 3,92,63
East 3,93,18
East 3,94,46
East 3,95,64
East 3,96,59
East 3,97,41
East 3,98,81
East 3,99,82
East 3,100,22
East 3,101,78
East 3,102,36
East 3,103,47
East 3,104,17
East 3,105,4
East 3,106,6
East 3,107,17
East 3,108,5
East 3,109,36
East 3,110,79
East 3,111,63
East 3,112,1
East 3,113,64
East 3,114,69
East 3,115,15
East 3,116,43
East 3,117,4
East 3,118,58
East 3,119,56
East 3,120,31
East 3,121,14
East 3,122,64
East 3,123,58
East 3,124,18
East 3,125,44
East 3,126,78
East 3,127,69
East 3,128,1
East 3,129,0
East 3,130,46
East 3,131,20
East 3,132,71
East 3,133,73
East 3,134,25
East 3,135,35
East 3,136,8
East 3,137,24
West 3,1,34
West 3,2,66
West 3,3,5
West 3,4,49
West 3,5,75
West 3,6,54
West 3,7,23
West 3,8,74
West 3,9,11
West 3,10,13
West 3,11,28
West 3,12,26
West 3,13,19
West 3,14,48
West 3,15,67
West 3,16,57
West 3,17,37
West 3,18,60
West 3,19,34
West 3,20,28
West 3,21,74
West 3,22,10
West 3,23,17
West 3,24,32
West 3,25,11
West 3,26,18
West 3,27,19
West 3,28,43
West 3,29,19
West 3,30,81
West 3,31,42
West 3,32,4
West 3,33,62
West 3,34,9
West 3,35,46
West 3,36,49
West 3,37,32
West 3,38,51
West 3,39,76
West 3,40,58
West 3,41,4
West 3,42,43
West 3,43,47
West 3,44,17
West 3,45,67
West 3,46,79
West 3,47,21
West 3,48,32
West 3,49,44
West 3,50,16
West 3,51,30
West 3,52,37
West 3,53,26
West 3,54,28
West 3,55,41
West 3,56,68
West 3,57,57
West 3,58,34
West 3,59,51
West 3,60,10
West 3,61,69
West 3,62,70
West 3,63,8
West 3,64,6
West 3,65,46
West 3,66,43
West 3,67,18
West 3,68,39
West 3,69,47
West 3,70,43
West 3,71,15
West 3,72,13
West 3,73,33
West 3,74,30
West 3,75,35
West 3,76,62
West 3,77,37
West 3,78,0
West 3,79,37
West 3,80,5
West 3,81,38
West 3,82,55
West 3,83,37
West 3,84,13
West 3,85,40
West 3,86,25
West 3,87,9
West 3,88,21
West 3,89,11
West 3,90,64
West 3,91,5
West 3,92,79
West 3,93,42
West 3,94,68
West 3,95,11
West 3,96,71
West 3,97,11
West 3,98,48
West 3,99,3
West 3,100,67
West 3,101,61
West 3,102,40
West 3,103,22
West 3,104,14
West 3,105,35
West 3,106,50
West 3,107,61
West 3,108,39
West 3,109,11
West 3,110,2
West 3,111,66
West 3,112,49
West 3,113,51
West 3,114,53
West 3,115,17
West 3,116,73
West 3,117,36
West 3,118,75
West 3,119,74
West 3,120,54
West 3,121,24
West 3,122,30
West 3,123,54
West 3,124,70
East 4,1,27
East 4,2,66
East 4,3,5
East 4,4,49
East 4,5,75
East 4,6,54
