Message,Position,Value
East 1,1,50
East 1,2,66
East 1,3,5
East 1,4,48
East 1,5,62
East 1,6,13
East 1,7,75
East 1,8,29
East 1,9,24
East 1,10,61
East 1,11,42
East 1,12,70
East 1,13,66
East 1,14,62
East 1,15,32
East 1,16,14
East 1,17,81
East 1,18,8
East 1,19,15
East 1,20,78
East 1,21,2
East 1,22,29
East 1,23,13
East 1,24,49
East 1,25,1
East 1,26,80
East 1,27,82
East 1,28,40
East 1,29,63
East 1,30,81
East 1,31,21
East 1,32,19
East 1,33,0
East 1,34,40
East 1,35,51
East 1,36,65
East 1,37,26
East 1,38,14
East 1,39,21
East 1,40,70
East 1,41,47
East 1,42,44
East 1,43,48
East 1,44,42
East 1,45,19
East 1,46,48
East 1,47,13
East 1,48,47
East 1,49,19
East 1,50,49
East 1,51,72
East 1,52,31
East 1,53,5
East 1,54,24
East 1,55,3
East 1,56,43
East 1,57,59
East 1,58,67
East 1,59,33
East 1,60,49
East 1,61,41
East 1,62,60
East 1,63,21
East 1,64,26
East 1,65,30
East 1,66,5
East 1,67,25
East 1,68,20
East 1,69,71
East 1,70,11
East 1,71,74
East 1,72,56
East 1,73,4
East 1,74,74
East 1,75,19
East 1,76,71
East 1,77,4
East 1,78,51
East 1,79,41
East 1,80,43
East 1,81,80
East 1,82,72
East 1,83,54
East 1,84,63
East 1,85,79
East 1,86,81
East 1,87,15
East 1,88,16
East 1,89,44
East 1,90,31
East 1,91,30
East 1,92,12
East 1,93,33
East 1,94,57
East 1,95,28
East 1,96,13
East 1,97,64
East 1,98,43
East 1,99,48
West 1,1,80
West 1,2,66
West 1,3,5
West 1,4,48
West 1,5,62
West 1,6,13
West 1,7,75
West 1,8,29
West 1,9,24
West 1,10,61
West 1,11,42
West 1,12,70
West 1,13,66
West 1,14,62
West 1,15,32
West 1,16,14
West 1,17,81
West 1,18,8
West 1,19,15
West 1,20,78
West 1,21,2
West 1,22,29
West 1,23,13
West 1,24,49
West 1,25,1
West 1,26,29
West 1,27,11
West 1,28,30
West 1,29,52
West 1,30,81
West 1,31,21
West 1,32,19
West 1,33,0
West 1,34,25
West 1,35,26
West 1,36,54
West 1,37,20
West 1,38,14
West 1,39,21
West 1,40,70
West 1,41,47
West 1,42,44
West 1,43,48
West 1,44,42
West 1,45,19
West 1,46,48
West 1,47,13
West 1,48,47
West 1,49,19
West 1,50,49
West 1,51,44
West 1,52,26
West 1,53,59
West 1,54,77
West 1,55,64
West 1,56,43
West 1,57,79
West 1,58,28
West 1,59,72
West 1,60,64
West 1,61,1
West 1,62,30
West 1,63,73
West 1,64,23
West 1,65,67
West 1,66,6
West 1,67,33
West 1,68,25
West 1,69,64
West 1,70,81
West 1,71,68
West 1,72,46
West 1,73,17
West 1,74,36
West 1,75,13
West 1,76,17
West 1,77,21
West 1,78,68
West 1,79,13
West 1,80,9
West 1,81,46
West 1,82,67
West 1,83,57
West 1,84,34
West 1,85,62
West 1,86,82
West 1,87,15
West 1,88,10
West 1,89,73
West 1,90,62
West 1,91,2
West 1,92,11
West 1,93,65
West 1,94,72
West 1,95,37
West 1,96,44
West 1,97,10
West 1,98,43
West 1,99,68
West 1,100,62
West 1,101,9
West 1,102,34
West 1,103,18
East 2,1,36
East 2,2,66
East 2,3,5
East 2,4,48
East 2,5,62
East 2,6,13
East 2,7,75
